code,level1,level2,type,category,name
6520385502,6500000000,6520300000,НП,С,ТАВРІЙСЬКЕ
6520385503,6500000000,6520300000,НП,С,НОВА ЗОРЯ
6520385800,6500000000,6520300000,,,МИРОЛЮБІВСЬКА/С-ЩЕ МИРОЛЮБІВКА
6520385801,6500000000,6520300000,НП,Щ,МИРОЛЮБІВКА
6520385802,6500000000,6520300000,НП,С,ГРОЗОВЕ
6520385803,6500000000,6520300000,НП,Щ,ДОСЛІДНЕ
6520385804,6500000000,6520300000,НП,Щ,МОЛОДЕЦЬКЕ
6520385805,6500000000,6520300000,НП,С,ПАРИШЕВЕ
6520385806,6500000000,6520300000,НП,Щ,МИРНЕ
6520386000,6500000000,6520300000,,,САДІВСЬКА/С.САДОВЕ
6520386001,6500000000,6520300000,НП,С,САДОВЕ
6520386002,6500000000,6520300000,НП,Щ,ПРИДНІПРОВСЬКЕ
6520386500,6500000000,6520300000,,,СТАНІСЛАВСЬКА/С.СТАНІСЛАВ
6520386501,6500000000,6520300000,НП,С,СТАНІСЛАВ
6520386502,6500000000,6520300000,НП,С,СОФІЇВКА
6520386503,6500000000,6520300000,НП,С,ШИРОКА БАЛКА
6520387000,6500000000,6520300000,,,ТОКАРІВСЬКА/С.ТОКАРІВКА
6520387001,6500000000,6520300000,НП,С,ТОКАРІВКА
6520387002,6500000000,6520300000,НП,С,ІВАНІВКА
6520387003,6500000000,6520300000,НП,С,НОВОТЯГИНКА
6520387300,6500000000,6520300000,,,ФЕДОРІВСЬКА/С.ФЕДОРІВКА
6520387301,6500000000,6520300000,НП,С,ФЕДОРІВКА
6520387302,6500000000,6520300000,НП,С,УЛЬЯНОВКА
6520387500,6500000000,6520300000,,,ЧОРНОБАЇВСЬКА/С.ЧОРНОБАЇВКА
6520387501,6500000000,6520300000,НП,С,ЧОРНОБАЇВКА
6520387502,6500000000,6520300000,НП,С,КРУТИЙ ЯР
6520600000,6500000000,6520600000,Р,,БЕРИСЛАВСЬКИЙ РАЙОН/М.БЕРИСЛАВ
6520610000,6500000000,6520600000,,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ БЕРИСЛАВСЬКОГО Р-НУ
6520610100,6500000000,6520600000,НП,М,БЕРИСЛАВ
6520655000,6500000000,6520600000,,,СЕЛИЩА МІСЬКОГО ТИПУ БЕРИСЛАВСЬКОГО Р-НУ
6520655400,6500000000,6520600000,НП,Т,КОЗАЦЬКЕ
6520680000,6500000000,6520600000,,,СІЛЬРАДИ БЕРИСЛАВСЬКОГО Р-НУ
6520680200,6500000000,6520600000,,,БУРГУНСЬКА/С.БУРГУНКА
6520680201,6500000000,6520600000,НП,С,БУРГУНКА
6520680400,6500000000,6520600000,,,ВЕСЕЛІВСЬКА/С-ЩЕ ВЕСЕЛЕ
6520680401,6500000000,6520600000,НП,Щ,ВЕСЕЛЕ
6520680600,6500000000,6520600000,,,ВИСОКІВСЬКА/С.ВИСОКЕ
6520680601,6500000000,6520600000,НП,С,ВИСОКЕ
6520680602,6500000000,6520600000,НП,С,ЛЬВІВСЬКІ ОТРУБИ
6520680603,6500000000,6520600000,НП,Щ,МАТРОСІВКА
6520680605,6500000000,6520600000,НП,С,ТАВРІЙСЬКЕ
6520681200,6500000000,6520600000,,,ЗМІЇВСЬКА/С.ЗМІЇВКА
6520681201,6500000000,6520600000,НП,С,ЗМІЇВКА
6520682400,6500000000,6520600000,,,ЛИМАНЕЦЬКА/С.ЛИМАНЕЦЬ
6520682401,6500000000,6520600000,НП,С,ЛИМАНЕЦЬ
6520682403,6500000000,6520600000,НП,С,ІНГУЛІВКА
6520682405,6500000000,6520600000,НП,С,ВІТРОВЕ
6520682406,6500000000,6520600000,НП,С,ЧАЙКИНЕ
6520683000,6500000000,6520600000,,,ЛЬВІВСЬКА/С.ЛЬВОВЕ
6520683001,6500000000,6520600000,НП,С,ЛЬВОВЕ
6520683600,6500000000,6520600000,,,МАКСИМО-ГОРЬКІВСЬКА/С.МАКСИМА ГОРЬКОГО
6520683601,6500000000,6520600000,НП,С,МАКСИМА ГОРЬКОГО
6520684200,6500000000,6520600000,,,МИЛІВСЬКА/С.МИЛОВЕ
6520684201,6500000000,6520600000,НП,С,МИЛОВЕ
6520684202,6500000000,6520600000,НП,С,СУХАНОВЕ
6520684203,6500000000,6520600000,НП,С,ЧЕРВОНИЙ ЯР
6520684204,6500000000,6520600000,НП,С,КАЧКАРІВКА
6520684205,6500000000,6520600000,НП,С,САБЛУКІВКА
6520684400,6500000000,6520600000,,,НОВОБЕРИСЛАВСЬКА/С.НОВОБЕРИСЛАВ
6520684401,6500000000,6520600000,НП,С,НОВОБЕРИСЛАВ
6520684800,6500000000,6520600000,,,НОВОКАЇРСЬКА/С.НОВОКАЇРИ
6520684801,6500000000,6520600000,НП,С,НОВОКАЇРИ
6520684802,6500000000,6520600000,НП,С,РЕСПУБЛІКАНЕЦЬ
6520685200,6500000000,6520600000,,,НОВОРАЙСЬКА/С-ЩЕ НОВОРАЙСЬК
6520685201,6500000000,6520600000,НП,Щ,НОВОРАЙСЬК
6520685203,6500000000,6520600000,НП,Щ,ЗАМОЖНЕ
6520685204,6500000000,6520600000,НП,С,КОСТИРКА
6520685205,6500000000,6520600000,НП,С,КРУПИЦЯ
6520685206,6500000000,6520600000,НП,Щ,МОНАСТИРСЬКЕ
6520685207,6500000000,6520600000,НП,Щ,ЧЕРВОНИЙ МАЯК
6520685500,6500000000,6520600000,,,ОЛЬГІВСЬКА/С.ОЛЬГІВКА
6520685501,6500000000,6520600000,НП,С,ОЛЬГІВКА
6520685502,6500000000,6520600000,НП,С,ВІРІВКА
